Country,Lat,Long
US,39.9526,-75.1652
US,36.8508,-76.2859
US,38.8816,-77.091
US,38.2042,-77.6078
US,39.0768,-77.6536
US,38.7849,-76.8721
US,41.3912,-95.4778
US,34.2465,-80.607
US,32.0575,-111.6661
US,41.4277,-85.355
US,39.8522,-77.2865
US,40.0106,-86.4997
US,43.0186,-89.5498
US,44.7509,-92.3814
US,41.4339,-81.6758
US,41.2603,-111.9522
US,43.0279,-73.135
US,44.8254,-93.7842
US,26.8946,-81.9098
US,34.2515,-84.4803
US,33.1795,-96.493
US,38.1938,-85.6435
US,29.6499,-90.1121
US,40.7909,-121.8474
US,34.8606,-81.9535
US,38.4333,-84.3542
US,41.6699,-91.5984
US,42.3118,-73.1822
US,36.1343,-86.822
US,43.1261,-123.2492
US,36.9859,-119.2321
US,39.5839,-76.3637
US,39.8065,-86.5401
US,40.7453,-74.0535
US,38.8454,-94.8521
US,47.175,-120.9319
US,27.4799,-82.3452
US,44.8446,-122.5927
US,30.5773,-86.6611
US,34.0132,-85.1479
US,33.9533,-117.3961
US,35.1269,-89.9253
US,38.6103,-90.4125
US,40.9849,-72.6151
US,41.8586,-74.3118
US,29.028,-81.0755
US,38.9085,-77.2405
US,42.9931,-71.0498
US,38.9072,-77.0369
US,40.229,-75.3879
US,37.6017,-121.7195
US,26.1901,-80.3659
US,26.663,-81.9535
US,32.8162,-111.2845
US,41.1489,-73.983
US,43.0324,-73.936
US,32.7957,-79.7848
US,45.7466,-122.5194
US,33.8999,-84.5641
US,40.9629,-112.0953
US,38.9108,-104.4723
US,21.307,-157.8584
US,42.3345,-122.7647
US,47.7425,-123.304
US,34.3672,-80.5883
US,42.6953,-121.6142
US,37.2519,-119.6963
US,47.0676,-122.1295
US,36.1593,-95.941
US,39.2587,-104.9389
US,41.8882,-71.4774
US,35.7211,-79.1781
US,39.9078,-75.3879
US,41.3148,-96.1951
US,38.0606,-84.4803
US,39.8362,-86.1752
US,42.4672,-71.2874
US,40.6546,-73.5594
US,44.9964,-93.0616
US,40.5608,-119.6035
US,41.6739,-75.2479
US,38.7646,-121.9018
US,37.3541,-121.9552
US,36.0796,-115.094
US,29.5693,-95.8143
US,47.1981,-119.3732
US,30.769,-86.9824
US,35.9179,-86.8622
US,40.7128,-74.006
US,39.1547,-77.2405
US,42.3601,-71.0589
US,39.7392,-104.9903
