,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
101,Liechtenstein,37,9.0,0.0,0.0,0.0,37,0.0,970.0,38000.0,47.166000000000004,9.555373,0.09736842105263158,0.0,100.0,0.0
102,Martinique,32,0.0,1.0,0.0,0.0,31,7.0,85.0,375000.0,14.641528,-61.024174,0.008533333333333334,0.0,96.875,3.125
103,Cameroon,27,0.0,0.0,0.0,2.0,25,0.0,1.0,26546000.0,7.369722,12.354722,0.00010171023883070897,7.4074074074074066,92.5925925925926,0.0
104,Bangladesh,24,4.0,2.0,1.0,3.0,19,0.0,0.1,164689000.0,23.684994,90.35633100000001,1.4572922295963907e-05,12.5,79.16666666666666,8.333333333333332
105,Afghanistan,24,0.0,0.0,0.0,1.0,23,0.0,0.6,38928000.0,33.93911,67.709953,6.165228113440198e-05,4.166666666666666,95.83333333333334,0.0
106,Honduras,24,0.0,0.0,0.0,0.0,24,0.0,2.0,9905000.0,15.199998999999998,-86.241905,0.00024230186774356385,0.0,100.0,0.0
107,DRC,23,5.0,0.0,0.0,0.0,23,0.0,0.3,89561000.0,-4.038333000000001,21.758664000000003,2.5680820893022636e-05,0.0,100.0,0.0
108,Nigeria,22,10.0,0.0,0.0,1.0,21,0.0,0.1,206140000.0,9.081999,8.675277000000001,1.0672358591248667e-05,4.545454545454546,95.45454545454545,0.0
109,Cuba,21,0.0,1.0,0.0,0.0,20,0.0,2.0,11327000.0,21.521757,-77.78116700000001,0.00018539772225655514,0.0,95.23809523809523,4.761904761904762
110,Jamaica,19,0.0,1.0,0.0,2.0,16,0.0,6.0,2961000.0,18.109581,-77.297508,0.0006416751097602162,10.526315789473683,84.21052631578947,5.263157894736842
111,Bolivia,19,3.0,0.0,0.0,0.0,19,0.0,2.0,11673000.0,-16.290154,-63.588653,0.00016276878266084126,0.0,100.0,0.0
